Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
Pacific West Region,ORCA,Oregon Caves National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Undecided,No,In Review,,,,,,,,,"160592, 562013, 562048, 562149, 645473, 648422, 88049",,,,SC,OR: S,,G5,OR: S3
Intermountain Region,ORPI,Organ Pipe Cactus National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,"171755, 647066, 74206, 74207",,,,SC,,,G5,AZ: S5
Pacific West Region,PARA,Parashant National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,Bassariscus astutus nevadensis,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"661838, 662422, 662443",,,,SC,,,G5,AZ: S5
Intermountain Region,PECO,Pecos National Historical Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,,,,,SC,,,G5,NM: S4
Intermountain Region,PEFO,Petrified Forest National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,"13650, 74208",,,,SC,,,G5,AZ: S5
Intermountain Region,PETR,Petroglyph National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,"598619, 650869",,,,SC,,,G5,NM: S4
Pacific West Region,PINN,Pinnacles National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,"cacomistle, Ring-tail",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,"22985, 8921",,,,SC,,,G5,CA: SNR
Intermountain Region,PISP,Pipe Spring National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"141330, 548423, 585206",,,,SC,,,G5,AZ: S5
Pacific West Region,PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Accepted,No,Approved,Present,,Native,,Unknown,,,,558053,"606251, 606252",,,SC,,,G5,CA: SNR
Intermountain Region,RABR,Rainbow Bridge National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,In Review,Probably Present,,Native,,,,,,,,,,SC,,,G5,UT: S3
Pacific West Region,REDW,Redwood National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,"118459, 147244, 25782, 561620, 562769, 572125, 572364, 580922, 581199, 585070, 585145, 585300, 74144, 74145, 78871, 8727",,,,SC,,,G5,CA: SNR
Intermountain Region,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,In Review,Unconfirmed,,,,,,,,108600,,,,SC,,,G5,CO: S4
Intermountain Region,SAGU,Saguaro National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,,,,"598517, 74233","545680, 545681, 546089, 546090, 546091","1435282, 1435283, 1435284",,SC,,,G5,AZ: S5
Pacific West Region,SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,1473666,,SC,,,G5,CA: SNR
Intermountain Region,SAPU,Salinas Pueblo Missions National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"598619, 650869",,,,SC,,,G5,NM: S4
Pacific West Region,SEKI,Sequoia and Kings Canyon National Parks,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"627506, 628570","508477, 508478, 508479, 508480, 508481, 508482, 508483, 508484, 508485, 508486, 508487, 508488, 508489, 508490, 508491, 508492, 508493, 508494, 508495, 508496, 508497, 508498, 508499, 508784, 508785, 508786, 508787, 508788, 508789, 508790, 508791, 508792, 508793, 508794, 518432, 518433, 518434, 518435, 518436, 518437, 518438, 518779, 518780, 518781, 518782, 518783, 518784, 518785, 518786, 518787, 518788, 518789, 518790, 518791, 518792, 518793, 518794, 518795, 518796, 518797, 518798, 518799, 518800, 518801, 518831, 518832, 518833, 518834, 518835, 518836, 518837, 518838, 518839, 518840, 518841, 518842, 518843, 518844, 518845, 518846, 518877, 518878, 518879, 518880, 518881, 518882, 518883, 518884, 518885, 518886, 518887, 518888, 518889, 518890, 518891, 518892, 519144, 519145, 519146, 519147, 519148, 519149, 519150, 519151, 519152, 519153, 519154, 519155, 519156, 519157, 519158, 519159, 519160, 519189, 519190, 519191, 519192, 519193, 519194, 519195, 519196, 519197, 519198, 519199, 519200, 519201, 519202, 519203, 519204, 519205, 519206, 519207, 519208, 519209, 519210","1058685, 1058686, 1063584",,SC,,,G5,CA: SNR
Intermountain Region,SUCR,Sunset Crater Volcano National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Resident,,,"649968, 661237",,,,SC,,,G5,AZ: S5
Midwest Region,TAPR,Tallgrass Prairie National Preserve,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Not In Park,False Report,Unknown,,,,,,598493,,,,SC,,,G5,KS: SH
Intermountain Region,TICA,Timpanogos Cave National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,"141330, 172921, 548423, 585206",,,,SC,,,G5,UT: S3
Intermountain Region,TONT,Tonto National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"167528, 598517, 66710",818678,,,SC,,,G5,AZ: S5
Intermountain Region,VALL,Valles Caldera National Preserve,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Unknown,,,,,,,,,,SC,,,G5,
Intermountain Region,WACA,Walnut Canyon National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"23252, 661237",,,,SC,,,G5,AZ: S5
Pacific West Region,WHIS,Whiskeytown National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"118459, 138855, 147244, 25782, 561613, 561648, 561888, 562605, 566300, 567436, 630294, 630325, 642576, 642582, 7760",,,,SC,,,G5,CA: SNR
Pacific West Region,WHIS,Whiskeytown National Recreation Area,Mammal,1,Carnivora,Procyonidae,630711,727422,Active,Bassariscus astutus nevadensis,,,Undecided,No,In Review,,,,,,,,,,,,,,,,,
Pacific West Region,WHIS,Whiskeytown National Recreation Area,Mammal,1,Carnivora,Procyonidae,630717,727425,Active,Bassariscus astutus raptor,,,Undecided,No,In Review,,,,,,,,,,,,,,,,,
Intermountain Region,WHSA,White Sands National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,590319,,,,SC,,,G5,NM: S4
Intermountain Region,WUPA,Wupatki National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,661237,,,,SC,,,G5,AZ: S5
Pacific West Region,YOSE,Yosemite National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,8726,"814612, 814613, 814614, 814615, 814616, 814617, 814618, 814824, 814825, 814826, 814827, 814828, 814829, 814830, 814831, 814832, 814833, 814834, 814835, 814836, 814837, 814838, 814839, 814840, 814841, 814842, 814843, 814844, 815052, 815053, 815054, 815055, 815056, 815057, 815058, 815059, 815060, 815061, 815062, 815063, 815064, 815065, 815066, 815067, 815068, 815069, 815070, 815071, 815275, 815276, 815277, 815278, 815279, 815280, 815281, 815282, 815283, 815284, 815285, 815286, 815287, 815288, 815289, 815290, 815291, 815292, 815293, 815294, 815501, 815502, 815503, 815504, 815505, 815506, 815507, 815508, 815509, 815510, 815511, 815512, 815513, 815514, 815515, 815516, 815517","1386613, 1484443, 1484444, 1484445, 1484446",,SC,,,G5,CA: SNR
Intermountain Region,YUHO,Yucca House National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"598619, 650869",,,,SC,,,G5,CO: S4
Intermountain Region,ZION,Zion National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus nevadensis,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"141330, 141333, 166409, 585206",,"1362928, 1362929, 1362930, 1362931",,SC,,,G5,UT: S3
